iso_code,continent,location,date,total_cases,total_deaths
ZAF,Africa,South Africa,2020/06/12,61927,1354
ZAF,Africa,South Africa,2020/06/13,65736,1423
ZAF,Africa,South Africa,2020/06/14,70038,1480
ZAF,Africa,South Africa,2020/06/15,73533,1568
ZAF,Africa,South Africa,2020/06/16,76334,1625
ZAF,Africa,South Africa,2020/06/17,80412,1674
ZAF,Africa,South Africa,2020/06/18,83890,1737
ZAF,Africa,South Africa,2020/06/19,87715,1831
ZAF,Africa,South Africa,2020/06/20,92681,1877
ZAF,Africa,South Africa,2020/06/21,97302,1930
ZAF,Africa,South Africa,2020/06/22,101590,1991
ZAF,Africa,South Africa,2020/06/23,106108,2102
ZAF,Africa,South Africa,2020/06/24,111796,2205
ZAF,Africa,South Africa,2020/06/25,118375,2292
ZAF,Africa,South Africa,2020/06/26,124590,2340
ZAF,Africa,South Africa,2020/06/27,131800,2413
ZAF,Africa,South Africa,2020/06/28,138134,2456
ZAF,Africa,South Africa,2020/06/29,144264,2529
ZAF,Africa,South Africa,2020/06/30,151209,2657
ZAF,Africa,South Africa,2020/07/01,159333,2749
ZAF,Africa,South Africa,2020/07/02,168061,2844
ZAF,Africa,South Africa,2020/07/03,177124,2952
ZAF,Africa,South Africa,2020/07/04,187977,3026
ZAF,Africa,South Africa,2020/07/05,196750,3199
ZAF,Africa,South Africa,2020/07/06,205721,3310
ZAF,Africa,South Africa,2020/07/07,215855,3502
ZAF,Africa,South Africa,2020/07/08,224665,3602
ZAF,Africa,South Africa,2020/07/09,238339,3720
ZAF,Africa,South Africa,2020/07/10,250687,3860
ZAF,Africa,South Africa,2020/07/11,264184,3971
ZAF,Africa,South Africa,2020/07/12,276242,4079
ZAF,Africa,South Africa,2020/07/13,287796,4172
ZAF,Africa,South Africa,2020/07/14,298292,4346
ZAF,Africa,South Africa,2020/07/15,311049,4453
ZAF,Africa,South Africa,2020/07/16,324221,4669
ZAF,Africa,South Africa,2020/07/17,337594,4804
ZAF,Africa,South Africa,2020/07/18,350879,4948
ZAF,Africa,South Africa,2020/07/19,364328,5033
ZAF,Africa,South Africa,2020/07/20,373628,5173
ZAF,Africa,South Africa,2020/07/21,381798,5368
ZAF,Africa,South Africa,2020/07/22,394948,5940
ZAF,Africa,South Africa,2020/07/23,408052,6093
ZAF,Africa,South Africa,2020/07/24,421996,6343
ZAF,Africa,South Africa,2020/07/25,434200,6655
ZAF,Africa,South Africa,2020/07/26,445433,6769
ZAF,Africa,South Africa,2020/07/27,452529,7067
ZAF,Africa,South Africa,2020/07/28,459761,7257
ZAF,Africa,South Africa,2020/07/29,471123,7497
ZAF,Africa,South Africa,2020/07/30,482169,7812
ZAF,Africa,South Africa,2020/07/31,493183,8005
ZAF,Africa,South Africa,2020/08/01,503290,8153
ZAF,Africa,South Africa,2020/08/02,511485,8366
ZAF,Africa,South Africa,2020/08/03,516862,8539
ZAF,Africa,South Africa,2020/08/04,521318,8884
ZAF,Africa,South Africa,2020/08/05,529877,9298
ZAF,Africa,South Africa,2020/08/06,538184,9604
ZAF,Africa,South Africa,2020/08/07,545476,9909
ZAF,Africa,South Africa,2020/08/08,553188,10210
ZAF,Africa,South Africa,2020/08/09,559859,10408
ZAF,Africa,South Africa,2020/08/10,563598,10621
ZAF,Africa,South Africa,2020/08/11,566109,10751
ZAF,Africa,South Africa,2020/08/12,568919,11010
ZAF,Africa,South Africa,2020/08/13,572865,11270
ZAF,Africa,South Africa,2020/08/14,579140,11556
ZAF,Africa,South Africa,2020/08/15,583653,11677
ZAF,Africa,South Africa,2020/08/16,587345,11839
ZAF,Africa,South Africa,2020/08/17,589886,11982
ZAF,Africa,South Africa,2020/08/18,592144,12264
ZAF,Africa,South Africa,2020/08/19,596060,12423
ZAF,Africa,South Africa,2020/08/20,599940,12618
ZAF,Africa,South Africa,2020/08/21,603338,12843
ZAF,Africa,South Africa,2020/08/22,607045,12987
ZAF,Africa,South Africa,2020/08/23,609773,13059
ZAF,Africa,South Africa,2020/08/24,611450,13159
ZAF,Africa,South Africa,2020/08/25,613017,13308
