x,y
"-31.385510510510507,",57550.17203
"-30.218208593208587,",57145.09769
"-26.71630284130284,",57416.26316
"-23.21439708939709,",57957.68108
"-20.87979325479325,",58093.41599
"-17.377887502887504,",58229.45523
"-9.206774081774071,",57826.20692
"-8.039472164472159,",57286.00634
"-5.704868329868319,",56340.73143
"-4.537566412566406,",55800.53086
"-2.7866135366135296,",55192.91934
"-0.4520097020096898,",55328.65424
"1.8825941325941358,",55464.38915
"3.633547008547012,",54991.90386
"5.968150843150852,",54316.8814
"8.302754677754692,",53912.11139
"12.971962346962357,",54588.95988
"19.975773850773862,",54320.53346
"21.143075768075775,",54591.09025
"22.310377685377702,",54861.64704
"28.14688727188728,",55133.42119
"31.648793023793033,",55404.58666
"35.150698775698785,",56081.13081
"36.3180006930007,",56621.94006
"37.485302610302625,",57162.74931
"38.65260452760454,",57703.55856
"51.492925617925636,",55004.38173
"54.99483136983139,",54735.04229
"56.162133287133315,",54194.84172
"58.49673712173714,",54330.57662
"65.50054862554865,",55143.16002
"66.66785054285054,",55413.71681
"74.83896396396398,",56091.47832
"78.34086971586973,",55551.88642
"80.67547355047355,",55282.24264
"84.17737930237931,",55823.66057
"87.67928505428506,",56635.33095
"88.84658697158699,",56905.88774
"101.68690806190807,",56503.85678
"104.02151189651192,",57180.0966
"109.27437052437054,",56708.52432
"112.19262531762533,",56371.4696
"115.69453106953108,",55426.49902
"120.36373873873876,",54616.95901
"126.20024832524834,",55429.23807
"129.7021540771541,",56105.78222
"130.86945599445602,",56646.59147
"132.03675791175795,",57052.27449
"133.7877107877108,",57660.79902
"138.4569184569185,",57189.07458
"142.5424751674752,",57730.64467
"144.87707900207903,",57866.37958
"147.79533379533382,",57799.57731
"150.12993762993764,",57529.93353
"151.88089050589053,",57327.7007
"158.88470200970204,",58410.53655
"160.05200392700397,",58681.09334
"169.3904192654193,",56994.4502
"170.55772118272122,",56183.99718
"174.05962693462695,",55847.09462
"181.64708939708945,",57403.02444
"183.98169323169324,",57133.38066
"185.73264610764616,",57201.40028
"186.89994802494803,",57607.0833
