"year";"nuts_code";"total_pop";"total_cities"
"700";"'UKE";"6000";"14"
"700";"'UKF";"5000";"11"
"700";"'UKG";"3000";"26"
"700";"'UKH+UKJ";"16000";"37"
"700";"'UKI";"3000";"6"
"700";"'UKK";"6000";"15"
"700";"'UKL";"0";"2"
"700";"'UKM";"0";"11"
"700";"'UKM5";"0";"1"
"700";"'UKN";"2000";"5"
"800";"'AT11";"0";"1"
"800";"'AT123";"3000";"4"
"800";"'AT21";"0";"1"
"800";"'AT22";"0";"1"
"800";"'AT31";"2000";"5"
"800";"'AT32";"1000";"1"
"800";"'AT33";"2000";"2"
"800";"'AT34";"0";"1"
"800";"'BE10+BE24+BE31";"3000";"8"
"800";"'BE21";"2000";"4"
"800";"'BE22";"4000";"3"
"800";"'BE23";"5000";"16"
"800";"'BE25";"7000";"17"
"800";"'BE32";"4000";"8"
"800";"'BE33";"5000";"5"
"800";"'BE34";"1000";"1"
"800";"'BE35";"2000";"2"
"800";"'CH01";"6000";"5"
"800";"'CH02";"3000";"6"
"800";"'CH03";"2000";"1"
"800";"'CH04";"3000";"2"
"800";"'CH05";"3000";"5"
"800";"'CH06";"0";"2"
"800";"'CH07";"1000";"1"
"800";"'DE11";"5000";"8"
"800";"'DE12";"5000";"6"
"800";"'DE13";"2000";"4"
"800";"'DE14";"2000";"6"
"800";"'DE21";"2000";"4"
"800";"'DE22";"2000";"3"
"800";"'DE23";"3000";"2"
"800";"'DE24";"0";"4"
"800";"'DE25";"0";"7"
"800";"'DE26";"2000";"3"
"800";"'DE27";"6000";"7"
"800";"'DE30";"0";"3"
"800";"'DE40";"0";"7"
"800";"'DE50";"2000";"2"
"800";"'DE60";"1000";"1"
"800";"'DE712";"10000";"10"
"800";"'DE73";"1000";"3"
"800";"'DE80";"0";"9"
"800";"'DE912";"1000";"12"
"800";"'DE93";"2000";"4"
"800";"'DE94";"4000";"6"
"800";"'DEA1";"2000";"22"
"800";"'DEA2";"12000";"11"
"800";"'DEA3";"2000";"8"
"800";"'DEA4";"3000";"5"
"800";"'DEA5";"1000";"10"
"800";"'DEB1";"4000";"4"
"800";"'DEB2";"6000";"2"
"800";"'DEB3";"7000";"9"
"800";"'DEC0";"2000";"2"
"800";"'DED2";"0";"8"
"800";"'DED4";"0";"11"
"800";"'DED5";"0";"4"
"800";"'DEE0";"6000";"18"
"800";"'DEF0";"3000";"11"
"800";"'DEG0";"3000";"12"
"800";"'DK01";"0";"2"
"800";"'DK02";"0";"1"
"800";"'DK03";"1000";"3"
"800";"'DK04";"1000";"3"
"800";"'DK05";"0";"1"
"800";"'ES11";"13000";"12"
"800";"'ES12";"3000";"4"
"800";"'ES13";"2000";"1"
"800";"'ES21";"4000";"4"
"800";"'ES22";"4000";"3"
"800";"'ES23";"7000";"4"
"800";"'ES24";"19000";"9"
"800";"'ES30";"2000";"10"
"800";"'ES41";"30000";"23"
"800";"'ES42";"37000";"33"
"800";"'ES43";"33000";"17"
"800";"'ES51";"21000";"21"
"800";"'ES52";"26000";"31"
"800";"'ES53";"7000";"5"
"800";"'ES61";"208000";"71"
"800";"'ES62";"10000";"11"
"800";"'ES70";"0";"4"
"800";"'FI19";"0";"3"
"800";"'FI1B";"0";"3"
"800";"'FI1C";"0";"2"
"800";"'FI1D";"0";"1"
"800";"'FR10";"12000";"13"
"800";"'FR21";"17000";"12"
"800";"'FR22";"14000";"9"
"800";"'FR23";"10000";"12"
"800";"'FR24";"29000";"19"
"800";"'FR25";"11000";"15"
"800";"'FR26";"22000";"16"
"800";"'FR30";"17000";"25"
"800";"'FR41";"15000";"12"
"800";"'FR42";"7000";"10"
"800";"'FR43";"7000";"10"
"800";"'FR51";"13000";"17"
"800";"'FR52";"10000";"13"
"800";"'FR53";"12000";"9"
"800";"'FR61";"21000";"19"
"800";"'FR62";"21000";"21"
"800";"'FR63";"3000";"6"
"800";"'FR71";"19000";"20"
"800";"'FR72";"10000";"13"
"800";"'FR81";"23000";"19"
"800";"'FR82";"34000";"26"
"800";"'FR83";"2000";"4"
"800";"'FRJ1";"0";"1"
"800";"'FRL0";"1000";"1"
"800";"'HR03";"1000";"2"
"800";"'IE0";"7000";"16"
"800";"'ITC1";"22000";"35"
"800";"'ITC2";"1000";"1"
"800";"'ITC3";"16000";"8"
"800";"'ITC4";"50000";"14"
"800";"'ITF1";"12000";"11"
"800";"'ITF2";"3000";"3"
"800";"'ITF3";"47000";"40"
"800";"'ITF4";"46000";"40"
"800";"'ITF5";"6000";"13"
"800";"'ITF6";"13000";"15"
"800";"'ITG1";"90000";"117"
