year,colour,n,nn,share
1995,Black,6,148,0.04054054054054054
1995,Blue,36,148,0.24324324324324326
1995,Gold,0,148,0
1995,Green,17,148,0.11486486486486487
1995,Grey,6,148,0.04054054054054054
1995,Other,3,148,0.02027027027027027
1995,Red,32,148,0.21621621621621623
1995,Silver,7,148,0.0472972972972973
1995,White,34,148,0.22972972972972974
1995,Burgundy,7,148,0.0472972972972973
1996,Black,8,165,0.048484848484848485
1996,Blue,45,165,0.2727272727272727
1996,Gold,2,165,0.012121212121212121
1996,Green,22,165,0.13333333333333333
1996,Grey,5,165,0.030303030303030304
1996,Other,4,165,0.024242424242424242
1996,Red,21,165,0.12727272727272726
1996,Silver,15,165,0.09090909090909091
1996,White,39,165,0.23636363636363636
1996,Burgundy,4,165,0.024242424242424242
1997,Black,3,159,0.018867924528301886
1997,Blue,36,159,0.22641509433962265
1997,Gold,2,159,0.012578616352201259
1997,Green,17,159,0.1069182389937107
1997,Grey,10,159,0.06289308176100629
1997,Other,5,159,0.031446540880503145
1997,Red,23,159,0.14465408805031446
1997,Silver,16,159,0.10062893081761007
1997,White,38,159,0.2389937106918239
1997,Burgundy,9,159,0.05660377358490566
1998,Black,12,218,0.05504587155963303
1998,Blue,53,218,0.24311926605504589
1998,Gold,1,218,0.0045871559633027525
1998,Green,34,218,0.1559633027522936
1998,Grey,8,218,0.03669724770642202
1998,Other,12,218,0.05504587155963303
1998,Red,22,218,0.10091743119266056
1998,Silver,19,218,0.0871559633027523
1998,White,54,218,0.24770642201834864
1998,Burgundy,3,218,0.013761467889908258
1999,Black,6,218,0.027522935779816515
1999,Blue,60,218,0.27522935779816515
1999,Gold,9,218,0.04128440366972477
1999,Green,21,218,0.0963302752293578
1999,Grey,10,218,0.045871559633027525
1999,Other,5,218,0.022935779816513763
1999,Red,15,218,0.06880733944954129
1999,Silver,18,218,0.08256880733944955
1999,White,67,218,0.3073394495412844
1999,Burgundy,7,218,0.03211009174311927
2000,Black,11,238,0.046218487394957986
2000,Blue,61,238,0.25630252100840334
2000,Gold,10,238,0.04201680672268908
2000,Green,12,238,0.05042016806722689
2000,Grey,11,238,0.046218487394957986
2000,Other,13,238,0.0546218487394958
2000,Red,27,238,0.1134453781512605
2000,Silver,24,238,0.10084033613445378
2000,White,64,238,0.2689075630252101
2000,Burgundy,5,238,0.02100840336134454
2001,Black,9,278,0.03237410071942446
2001,Blue,40,278,0.14388489208633093
