year,colour,n,nn,share
2001,Gold,23,278,0.08273381294964029
2001,Green,23,278,0.08273381294964029
2001,Grey,18,278,0.06474820143884892
2001,Other,15,278,0.0539568345323741
2001,Red,19,278,0.0683453237410072
2001,Silver,55,278,0.19784172661870503
2001,White,75,278,0.2697841726618705
2001,Burgundy,1,278,0.0035971223021582736
2002,Black,20,344,0.05813953488372093
2002,Blue,44,344,0.12790697674418605
2002,Gold,30,344,0.0872093023255814
2002,Green,16,344,0.046511627906976744
2002,Grey,32,344,0.09302325581395349
2002,Other,6,344,0.01744186046511628
2002,Red,33,344,0.09593023255813954
2002,Silver,73,344,0.21220930232558138
2002,White,87,344,0.25290697674418605
2002,Burgundy,3,344,0.00872093023255814
2003,Black,30,325,0.09230769230769231
2003,Blue,42,325,0.12923076923076923
2003,Gold,19,325,0.05846153846153846
2003,Green,19,325,0.05846153846153846
2003,Grey,40,325,0.12307692307692308
2003,Other,10,325,0.03076923076923077
2003,Red,15,325,0.046153846153846156
2003,Silver,74,325,0.2276923076923077
2003,White,71,325,0.21846153846153846
2003,Burgundy,5,325,0.015384615384615385
2004,Black,76,528,0.14393939393939395
2004,Blue,72,528,0.13636363636363635
2004,Gold,39,528,0.07386363636363637
2004,Green,10,528,0.01893939393939394
2004,Grey,50,528,0.0946969696969697
2004,Other,22,528,0.041666666666666664
2004,Red,17,528,0.032196969696969696
2004,Silver,142,528,0.2689393939393939
2004,White,92,528,0.17424242424242425
2004,Burgundy,8,528,0.015151515151515152
2005,Black,135,815,0.1656441717791411
2005,Blue,120,815,0.147239263803681
2005,Gold,37,815,0.04539877300613497
2005,Green,13,815,0.015950920245398775
2005,Grey,74,815,0.09079754601226994
2005,Other,79,815,0.09693251533742331
2005,Red,31,815,0.03803680981595092
2005,Silver,210,815,0.25766871165644173
2005,White,110,815,0.13496932515337423
2005,Burgundy,6,815,0.007361963190184049
2006,Black,184,991,0.1856710393541877
2006,Blue,152,991,0.15338042381432895
2006,Gold,42,991,0.04238143289606458
2006,Green,23,991,0.02320887991927346
2006,Grey,115,991,0.11604439959636731
2006,Other,40,991,0.04036326942482341
2006,Red,31,991,0.03128153380423814
2006,Silver,242,991,0.24419778002018164
2006,White,159,991,0.16044399596367306
2006,Burgundy,3,991,0.0030272452068617556
2007,Black,197,1162,0.16953528399311532
2007,Blue,139,1162,0.11962134251290878
2007,Gold,88,1162,0.0757314974182444
2007,Green,21,1162,0.018072289156626505
2007,Grey,116,1162,0.09982788296041308
2007,Other,59,1162,0.050774526678141134
2007,Red,56,1162,0.04819277108433735
2007,Silver,280,1162,0.24096385542168675
2007,White,195,1162,0.16781411359724613
2007,Burgundy,11,1162,0.00946643717728055
2008,Black,147,1016,0.14468503937007873
2008,Blue,130,1016,0.1279527559055118
2008,Gold,48,1016,0.047244094488188976
2008,Green,17,1016,0.01673228346456693
2008,Grey,122,1016,0.12007874015748031
2008,Other,62,1016,0.0610236220472441
2008,Red,47,1016,0.04625984251968504
2008,Silver,231,1016,0.22736220472440946
2008,White,209,1016,0.20570866141732283
2008,Burgundy,3,1016,0.002952755905511811
2009,Black,143,1019,0.14033366045142295
2009,Blue,113,1019,0.11089303238469088
2009,Gold,50,1019,0.04906771344455348
2009,Green,17,1019,0.016683022571148183
2009,Grey,135,1019,0.1324828263002944
2009,Other,71,1019,0.06967615309126594
2009,Red,40,1019,0.03925417075564279
2009,Silver,243,1019,0.23846908734052993
2009,White,205,1019,0.2011776251226693
2009,Burgundy,2,1019,0.001962708537782139
2010,Black,138,1495,0.09230769230769231
2010,Blue,152,1495,0.10167224080267559
2010,Gold,66,1495,0.04414715719063545
2010,Green,5,1495,0.0033444816053511705
2010,Grey,164,1495,0.1096989966555184
2010,Other,109,1495,0.07290969899665552
2010,Red,73,1495,0.04882943143812709
2010,Silver,349,1495,0.2334448160535117
2010,White,434,1495,0.2903010033444816
2010,Burgundy,5,1495,0.0033444816053511705
2011,Black,84,1667,0.05038992201559688
2011,Blue,149,1667,0.08938212357528494
2011,Gold,58,1667,0.03479304139172166
2011,Green,13,1667,0.007798440311937612
2011,Grey,216,1667,0.1295740851829634
2011,Other,132,1667,0.07918416316736653
2011,Red,65,1667,0.038992201559688064
2011,Silver,473,1667,0.28374325134973005
2011,White,477,1667,0.2861427714457109
2011,Burgundy,0,1667,0
2012,Black,123,2314,0.05315471045808125
2012,Blue,203,2314,0.08772687986171132
2012,Gold,47,2314,0.02031114952463267
2012,Green,8,2314,0.003457216940363008
2012,Grey,282,2314,0.12186689714779603
2012,Other,195,2314,0.08426966292134831
2012,Red,137,2314,0.05920484010371651
2012,Silver,558,2314,0.2411408815903198
2012,White,761,2314,0.3288677614520311
2012,Burgundy,0,2314,0
2013,Black,137,2295,0.05969498910675381
2013,Blue,205,2295,0.08932461873638345
2013,Gold,59,2295,0.02570806100217865
2013,Green,11,2295,0.004793028322440087
2013,Grey,292,2295,0.1272331154684096
2013,Other,220,2295,0.09586056644880174
2013,Red,167,2295,0.07276688453159041
2013,Silver,503,2295,0.21917211328976036
2013,White,691,2295,0.3010893246187364
2013,Burgundy,10,2295,0.004357298474945534
2014,Black,134,2876,0.04659248956884562
2014,Blue,270,2876,0.09388038942976357
2014,Gold,84,2876,0.02920723226703755
2014,Green,12,2876,0.004172461752433936
2014,Grey,290,2876,0.10083449235048679
2014,Other,307,2876,0.10674547983310154
2014,Red,208,2876,0.07232267037552156
2014,Silver,569,2876,0.1978442280945758
2014,White,993,2876,0.3452712100139082
2014,Burgundy,9,2876,0.003129346314325452
2015,Black,88,3087,0.02850664075153871
2015,Blue,229,3087,0.0741820537738905
2015,Gold,71,3087,0.022999676060900552
2015,Green,9,3087,0.0029154518950437317
2015,Grey,332,3087,0.10754778101716878
2015,Other,361,3087,0.11694201490119857
2015,Red,230,3087,0.07450599287333981
2015,Silver,648,3087,0.2099125364431487
2015,White,1110,3087,0.3595724003887269
2015,Burgundy,9,3087,0.0029154518950437317
2016,Black,102,3415,0.02986822840409956
2016,Blue,323,3415,0.0945827232796486
2016,Gold,57,3415,0.016691068814055635
2016,Green,17,3415,0.004978038067349927
2016,Grey,365,3415,0.10688140556368961
2016,Other,422,3415,0.12357247437774524
2016,Red,222,3415,0.06500732064421669
2016,Silver,724,3415,0.21200585651537335
2016,White,1173,3415,0.34348462664714496
2016,Burgundy,10,3415,0.0029282576866764276
2017,Black,56,3298,0.016979987871437233
2017,Blue,255,3298,0.07731958762886598
2017,Gold,59,3298,0.017889630078835657
2017,Green,17,3298,0.005154639175257732
2017,Grey,304,3298,0.09217707701637357
2017,Other,422,3298,0.12795633717404487
2017,Red,214,3298,0.06488781079442087
2017,Silver,714,3298,0.21649484536082475
2017,White,1239,3298,0.3756822316555488
2017,Burgundy,18,3298,0.005457853244390539
2018,Black,71,4730,0.015010570824524313
2018,Blue,318,4730,0.06723044397463002
2018,Gold,49,4730,0.010359408033826638
2018,Green,12,4730,0.002536997885835095
2018,Grey,439,4730,0.09281183932346723
2018,Other,400,4730,0.08456659619450317
2018,Red,274,4730,0.057928118393234675
2018,Silver,1312,4730,0.2773784355179704
2018,White,1845,4730,0.39006342494714585
2018,Burgundy,10,4730,0.0021141649048625794
2019,Black,75,5793,0.01294665976178146
2019,Blue,348,5793,0.06007250129466598
2019,Gold,48,5793,0.008285862247540134
2019,Green,30,5793,0.005178663904712584
2019,Grey,485,5793,0.08372173312618678
2019,Other,766,5793,0.132228551700328
2019,Red,297,5793,0.05126877265665458
2019,Silver,1475,5793,0.25461764198170206
2019,White,2265,5793,0.3909891248058001
2019,Burgundy,4,5793,6.904885206283445e-4
2020,Black,164,5183,0.03164190623191202
2020,Blue,383,5183,0.07389542735867258
2020,Gold,18,5183,0.003472892147404978
2020,Green,22,5183,0.004244645957939417
2020,Grey,425,5183,0.0819988423692842
2020,Other,556,5183,0.1072737796642871
2020,Red,323,5183,0.06231912020065599
2020,Silver,1124,5183,0.21686282076017752
2020,White,2167,5183,0.4180976268570326
2020,Burgundy,1,5183,1.9293845263360988e-4
